dps-PB	dps	BSU30650
dps-P1	dps	BSU30650
dnaA-TR3	dnaA	BSU00010
dhbAp	dhbA	BSU32000
degUp3	degU	BSU35490
degUp2	degU	BSU35490
degSUp1	degS	BSU35500
cydAp	cydA	BSU38760
cwlF-Ph	lytE	BSU09420
cwlF-Pa	lytE	BSU09420
ctaA-Ps	ctaA	BSU14870
cssR-S2	cssR	BSU33010
cssR-S1	cssR	BSU33010
csbA-PB	csbA	BSU35180
csbA-PA	csbA	BSU35180
cotX-Px		
cotM-P2	cotM	BSU17970
cotM-P1	cotM	BSU17970
cotE-P2	cotE	BSU17030
cotE-P1	cotE	BSU17030
copZp	copZ	BSU33510
copBp	copB	BSU33490
comF-P1	comFA	BSU35470
clpP-S2	clpP	BSU34540
clpP-S1	clpP	BSU34540
clpE-s2	clpE	BSU13700
clpE-s1	clpE	BSU13700
citG-P2	fumC	BSU33040
citG-P1b	fumC	BSU33040
citG-P1a		
ccpC-P1		
bvx	glgB	BSU30980
bsrCp	bsrC	G8J2-159
bshCp	bshC	BSU15120
bmrAp	bmrA	BSU34820
bdhAp	bdhA	BSU06240
bcaPp	bcaP	BSU09460
aldp	ald	BSU31930
abrB-P2	abrB	BSU00370
abrB-P1	abrB	BSU00370
aagp	aag	BSU38620
